symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ZS,2022-04-29 00:00:00+00:00,202.74,217.4,202.26,212.12,1912608,202.74,217.4,202.26,212.12,1912608,0.0,1.0
ZS,2022-05-02 00:00:00+00:00,208.23,208.5,200.01,201.31,1267076,208.23,208.5,200.01,201.31,1267076,0.0,1.0
ZS,2022-05-03 00:00:00+00:00,204.7,210.66,200.4385,207.32,1263003,204.7,210.66,200.4385,207.32,1263003,0.0,1.0
ZS,2022-05-04 00:00:00+00:00,208.93,209.36,192.73,205.34,2233312,208.93,209.36,192.73,205.34,2233312,0.0,1.0
ZS,2022-05-05 00:00:00+00:00,190.41,206.84,185.7,206.2,2497245,190.41,206.84,185.7,206.2,2497245,0.0,1.0
ZS,2022-05-06 00:00:00+00:00,172.94,186.88,171.91,186.8,3172968,172.94,186.88,171.91,186.8,3172968,0.0,1.0
ZS,2022-05-09 00:00:00+00:00,153.09,169.59,152.365,167.63,4232729,153.09,169.59,152.365,167.63,4232729,0.0,1.0
ZS,2022-05-10 00:00:00+00:00,150.29,161.7173,143.82,159.14,3626351,150.29,161.7173,143.82,159.14,3626351,0.0,1.0
ZS,2022-05-11 00:00:00+00:00,136.57,150.31,135.96,144.99,3949543,136.57,150.31,135.96,144.99,3949543,0.0,1.0
ZS,2022-05-12 00:00:00+00:00,137.63,144.605,127.62,132.34,4260054,137.63,144.605,127.62,132.34,4260054,0.0,1.0
ZS,2022-05-13 00:00:00+00:00,153.23,155.04,141.94,142.23,3010993,153.23,155.04,141.94,142.23,3010993,0.0,1.0
ZS,2022-05-16 00:00:00+00:00,140.08,152.9199,139.73,149.87,2391115,140.08,152.9199,139.73,149.87,2391115,0.0,1.0
ZS,2022-05-17 00:00:00+00:00,141.78,147.46,137.02,145.19,2824005,141.78,147.46,137.02,145.19,2824005,0.0,1.0
ZS,2022-05-18 00:00:00+00:00,128.09,140.485,125.12,138.55,3788244,128.09,140.485,125.12,138.55,3788244,0.0,1.0
ZS,2022-05-19 00:00:00+00:00,132.3,137.0,125.8,126.72,3104079,132.3,137.0,125.8,126.72,3104079,0.0,1.0
ZS,2022-05-20 00:00:00+00:00,136.89,144.9,131.91,139.43,3807048,136.89,144.9,131.91,139.43,3807048,0.0,1.0
ZS,2022-05-23 00:00:00+00:00,138.17,138.39,130.4,135.96,2635426,138.17,138.39,130.4,135.96,2635426,0.0,1.0
ZS,2022-05-24 00:00:00+00:00,127.81,136.01,125.9,136.01,2539044,127.81,136.01,125.9,136.01,2539044,0.0,1.0
ZS,2022-05-25 00:00:00+00:00,132.58,134.59,126.57,127.79,2476024,132.58,134.59,126.57,127.79,2476024,0.0,1.0
ZS,2022-05-26 00:00:00+00:00,142.13,145.79,129.93,130.56,5940426,142.13,145.79,129.93,130.56,5940426,0.0,1.0
ZS,2022-05-27 00:00:00+00:00,160.0,162.64,150.22,156.46,6763610,160.0,162.64,150.22,156.46,6763610,0.0,1.0
ZS,2022-05-31 00:00:00+00:00,153.09,161.07,151.05,160.5,3645291,153.09,161.07,151.05,160.5,3645291,0.0,1.0
ZS,2022-06-01 00:00:00+00:00,148.94,158.29,146.16,155.18,2213031,148.94,158.29,146.16,155.18,2213031,0.0,1.0
ZS,2022-06-02 00:00:00+00:00,160.84,161.09,148.27,148.9,3605975,160.84,161.09,148.27,148.9,3605975,0.0,1.0
ZS,2022-06-03 00:00:00+00:00,156.93,163.35,154.62,157.52,2420031,156.93,163.35,154.62,157.52,2420031,0.0,1.0
ZS,2022-06-06 00:00:00+00:00,158.57,162.855,154.51,160.41,2028204,158.57,162.855,154.51,160.41,2028204,0.0,1.0
ZS,2022-06-07 00:00:00+00:00,162.81,164.96,155.2,155.5,1613902,162.81,164.96,155.2,155.5,1613902,0.0,1.0
ZS,2022-06-08 00:00:00+00:00,165.57,169.87,162.0,162.0,2280920,165.57,169.87,162.0,162.0,2280920,0.0,1.0
ZS,2022-06-09 00:00:00+00:00,160.42,167.29,159.2,163.91,1968793,160.42,167.29,159.2,163.91,1968793,0.0,1.0
ZS,2022-06-10 00:00:00+00:00,153.61,158.63,150.4,155.5,2228971,153.61,158.63,150.4,155.5,2228971,0.0,1.0
ZS,2022-06-13 00:00:00+00:00,140.98,149.36,139.78,146.0,2306778,140.98,149.36,139.78,146.0,2306778,0.0,1.0
ZS,2022-06-14 00:00:00+00:00,142.11,146.444,139.81,142.33,1545655,142.11,146.444,139.81,142.33,1545655,0.0,1.0
ZS,2022-06-15 00:00:00+00:00,148.25,151.18,143.49,145.29,1427419,148.25,151.18,143.49,145.29,1427419,0.0,1.0
ZS,2022-06-16 00:00:00+00:00,136.03,142.765,133.315,141.6,2679496,136.03,142.765,133.315,141.6,2679496,0.0,1.0
ZS,2022-06-17 00:00:00+00:00,144.22,145.84,137.14,138.2,3505965,144.22,145.84,137.14,138.2,3505965,0.0,1.0
